家賃(万円),広さ(㎡),距離(分),築年数,階
11,31.64,5,12,3
26.2,88,7,29,1
26.2,86.69,7,29,1
26.2,86.48,7,29,1
28.1,88,7,29,2
28.1,86.69,7,29,2
28.3,86.48,7,29,1
8.7,24.22,13,12,3
8.1,23.62,15,11,7
8.4,23.62,15,11,7
12.7,40.18,15,11,4
8.1,23.62,14,11,7
12.7,37.58,14,11,4
6.45,13.64,9,0,1
6.45,9.13,9,0,1
6.9,25.6,13,29,3
11,42.82,17,25,1
15.79,65.97,3,22,2
14.5,32.5,8,4,13
16.4,33.86,8,4,15
27,62.47,8,4,15
33,73.53,8,4,45
42.5,85.28,8,4,45
33,73.53,8,4,22
11.8,29.09,5,12,5
12.1,29.67,5,12,12
12.4,31.63,5,12,14
16,63.13,12,23,7
13.2,40.32,10,14,10
9.7,30.83,8,11,3
